Цена за м2;OKATO;name
466116;45286552;Арбат
457588;45286585;Тверской
454877;45286596;Якиманка
433399;45286590;Хамовники
370976;45286575;Пресненский
365969;45286565;Красносельский
361087;45286570;Мещанский
359676;45286560;Замоскворечье
355523;45286580;Таганский
351587;45277556;Беговой
349113;45268554;Дорогомилово
337888;45293558;Гагаринский
337888;45293574;Ломоносовский
337888;45268584;Раменки
330801;45296561;Донской
316621;45277598;Хорошевский
308675;45268581;Проспект Вернадского
302403;45268595;Филевский Парк
298873;45293554;Академический
293526;45286555;Басманный
292372;45280552;Алексеевский
292170;45280569;Марьина Роща
292170;45277586;Савеловский
290732;45277553;Аэропорт
290732;45277589;Сокол
288571;45293590;Черемушки
285286;45283582;Хорошево-Мневники
285185;45263591;Сокольники
281129;45290578;Нижегородский
280880;45290594;Южнопортовый
267751;45268560;Крылатское
266132;45296559;Даниловский
266132;45293570;Котловка
264756;45268579;Очаково-Матвеевское
264396;45280572;Останкинский
264396;45280577;Ростокино
263880;45283569;Покровское-Стрешнево
263880;45283587;Щукино
262298;45268592;Тропарево-Никулино
261757;45268569;Можайский
261757;45268597;Фили-Давыдково
261343;45280561;Бутырский
261343;45277592;Тимирязевский
257146;45280580;Свиблово
255854;45268562;Кунцево
254125;45296571;Нагатино-Садовники
254125;45296573;Нагатинский Затон
253944;45293566;Коньково
253944;45293578;Обручевский
252652;45293562;Зюзино
252652;45296575;Нагорный
252148;45263588;Соколиная Гора
249866;45283577;Строгино
249747;45277571;Головинский
249128;45263594;Преображенское
244492;45283555;Куркино
244492;45277584;Молжаниновский
244233;45277565;Войковский
244233;45277580;Коптево
238938;45290564;Лефортово
235053;45277583;Левобережный
235053;45277595;Ховрино
233772;45280556;Бабушкинский
233772;45280594;Южное Медведково
232571;45296593;Чертаново Северное
232571;45296595;Чертаново Центральное
231598;45283573;Северное Тушино
231598;45283593;Южное Тушино
230013;45268588;Солнцево
228311;45263552;Богородское
228311;45263581;Метрогородок
226696;45280583;Северное Медведково
226515;45263558;Восточное Измайлово
226515;45263570;Измайлово
226362;45280567;Марфино
224993;45290562;Кузьминки
224993;45290590;Текстильщики
223514;45277559;Бескудниковский
223514;45277568;Восточное Дегунино
223514;45277574;Дмитровский
223514;45277577;Западное Дегунино
223514;45280585;Северный
220382;45293598;Ясенево
220338;45296597;Чертаново Южное
219502;45296577;Орехово-Борисово Северное
219502;45296579;Орехово-Борисово Южное
218432;45293586;Теплый Стан
217482;45280574;Отрадное
217439;45290586;Рязанский
217090;45290582;Печатники
216933;45283559;Митино
216376;45263583;Перово
216114;45296569;Москворечье-Сабурово
216114;45296590;Царицыно
215991;45280554;Алтуфьевский
215991;45280558;Бибирево
215835;45268552;Внуково
215835;45268577;Ново-Переделкино
215188;45293582;Северное Бутово
214019;45263564;Гольяново
214019;45263585;Северное Измайлово
212618;45290568;Люблино
211451;45290558;Капотня
211451;45290572;Марьино
208432;45263567;Ивановское
208432;45263576;Новогиреево
207929;45280563;Лианозово
207457;45296557;Братеево
207457;45296565;Зябликово
204742;45280565;Лосиноостровский
204742;45280597;Ярославский
202800;45263561;Восточный
202800;45263579;Новокосино
202646;45263555;Вешняки
202646;45290554;Выхино-Жулебино
198562;45293594;Южное Бутово
194846;45263573;Косино-Ухтомский
194846;45290574;Некрасовка
192997;45296553;Бирюлево Восточное
192997;45296555;Бирюлево Западное
181278;45272580;Крюково
181278;45272562;Матушкино
181278;45272568;Савелки
181278;45272572;Силино
181278;45272576;Старое Крюково
101970;45298578;Троицк
146799;45297581;Щербинка
